Status,Amount,Sentiment,Homeowner
Very Well,"$1000-$10,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
So So.,"$1000-$10,000","Yes, if the tax laws made sense.",No
Very Well,"$10,000.00","YES, sign me up now.",No
So So.,"$10,000.00","YES, sign me up now.",No
Very Well,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
So So.,"$0-$1,000","YES, sign me up now.",No
So So.,"$1000-$10,000","Yes, if the tax laws made sense.",No
So So.,"$0-$1,000",I don't know much about it to decide.,No
Very Well,"$0-$1,000","YES, sign me up now.",No
So So.,"$0-$1,000",I have no idea what that is.,No
So So.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",Yes
Very Well,"$10,000.00","YES, sign me up now.",No
Very Well,"$1000-$10,000","Yes, if the tax laws made sense.",No
Very Well,"$1000-$10,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
Very Well,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
Very Well,"$1000-$10,000","YES, sign me up now.",Yes
Very Well,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
So So.,"$0-$1,000",I don't know much about it to decide.,Yes
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
Very Well,"$0-$1,000","YES, sign me up now.",No
Very Well,"$1000-$10,000","YES, sign me up now.",No
So So.,"$0-$1,000","Yes, if the tax laws made sense.",No
So So.,"$0-$1,000",I don't know much about it to decide.,No
So So.,"$0-$1,000","YES, sign me up now.",No
So So.,"$0-$1,000","Yes, if the tax laws made sense.",No
So So.,"$0-$1,000","YES, sign me up now.",No
Very Well,"$10,000.00","Yes, if the tax laws made sense.",No
Very Well,"$1000-$10,000","No, seems too risky.",No
So So.,"$0-$1,000","YES, sign me up now.",No
So So.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
So So.,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$1000-$10,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
Very Well,"$10,000.00","No, seems too risky.",No
Very Well,"$1000-$10,000","YES, sign me up now.",No
Very Well,"$1000-$10,000",I don't know much about it to decide.,No
Very Well,"$0-$1,000",I have no idea what that is.,No
Very Well,"$0-$1,000",I don't know much about it to decide.,No
Very Well,"$10,000.00","No, seems too risky.",No
Very Well,"$10,000.00","YES, sign me up now.",No
Very Well,"$0-$1,000","Yes, if the tax laws made sense.",No
So So.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
Very Well,"$1000-$10,000","No, seems too risky.",Yes
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
So So.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
Very Well,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
So So.,"$0-$1,000",I have no idea what that is.,No
So So.,"$0-$1,000",I don't know much about it to decide.,No
So So.,"$1000-$10,000","No, seems too risky.",No
So So.,"$1000-$10,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
Very Well,"$10,000.00","No, seems too risky.",Yes
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
I Don't Understand Blockchain at all.,"$0-$1,000",I have no idea what that is.,No
So So.,"$0-$1,000","No, seems too risky.",No
So So.,"$0-$1,000",I have no idea what that is.,No
So So.,"$0-$1,000",I don't know much about it to decide.,No
So So.,"$0-$1,000",I don't know much about it to decide.,No
So So.,"$0-$1,000",I don't know much about it to decide.,No
I Don't Understand Blockchain at all.,"$0-$1,000","No, seems too risky.",No
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
So So.,"$0-$1,000","YES, sign me up now.",No
So So.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","YES, sign me up now.",No
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
I Don't Understand Blockchain at all.,"$0-$1,000","Yes, if the tax laws made sense.",No
Very Well,"$10,000.00","YES, sign me up now.",Yes
Very Well,"$10,000.00","Yes, if the tax laws made sense.",Yes
Very Well,"$0-$1,000","YES, sign me up now.",No
Very Well,"$0-$1,000","Yes, if the tax laws made sense.",No
Very Well,"$0-$1,000","Yes, if the tax laws made sense.",Yes
Very Well,"$0-$1,000","Yes, if the tax laws made sense.",No